About,Om,
All,Alle,
Apps,Apper,
Brand,Merkevare,
Category Name,Kategorinavn,
Comment,Kommentar,
Content,Innhold,
Currency,Valuta,
Description,Beskrivelse,
Frappe Support,Frappe-støtte,
Image,Bilde,
Image View,Bildevisning,
Is Active,Er aktiv,
Keyboard Shortcuts,Tastatursnarveier,
Label,Etikett,
Log out,Logg ut,
More Information,Mer informasjon,
My Account,Min Konto,
Naming Series,Nummerserie,
Published,Publisert,
Rating,Rangering,
Reload,Last inn på nytt,
Route,Rute,
Sales Manager,Salgsleder,
Session Defaults,Øktstandarder,
Slideshow,Lysbildefremvisning,
Sort Order,Sorteringsrekkefølge,
System Manager,Systemansvarlig,
Title,Tittel,
Toggle Full Width,Bytt til/fra full bredde,
Toggle Theme,Bytt tema,
User,Bruker,
View,Vis,
View Website,Vis nettsted,
Warehouse,Varehus,
Website Manager,Nettstedsansvarlig,
Website Settings,Innstillinger for nettsted,
